iterationName,context_id,gameid,time,trialNum,repNum,targetImg,timeFromMessage,clickedObj,correct,fullContext
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374843865e+12,0,0,COCO_val2014_000000001347.jpg,1942,target,true,"[{""url"":""COCO_val2014_000000363922.jpg"",""targetStatus"":""distr2""},{""url"":""COCO_val2014_000000402623.jpg"",""targetStatus"":""distr1""},{""url"":""COCO_val2014_000000383322.jpg"",""targetStatus"":""distr0""},{""url"":""COCO_val2014_000000001347.jpg"",""targetStatus"":""target""}]"
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374859166e+12,1,0,COCO_val2014_000000402623.jpg,2526,target,true,"[{""url"":""COCO_val2014_000000363922.jpg"",""targetStatus"":""distr2""},{""url"":""COCO_val2014_000000001347.jpg"",""targetStatus"":""distr1""},{""url"":""COCO_val2014_000000383322.jpg"",""targetStatus"":""distr0""},{""url"":""COCO_val2014_000000402623.jpg"",""targetStatus"":""target""}]"
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374880823e+12,2,0,COCO_val2014_000000383322.jpg,1800,target,true,"[{""url"":""COCO_val2014_000000363922.jpg"",""targetStatus"":""distr2""},{""url"":""COCO_val2014_000000001347.jpg"",""targetStatus"":""distr1""},{""url"":""COCO_val2014_000000402623.jpg"",""targetStatus"":""distr0""},{""url"":""COCO_val2014_000000383322.jpg"",""targetStatus"":""target""}]"
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374896728e+12,3,0,COCO_val2014_000000363922.jpg,1550,target,true,"[{""url"":""COCO_val2014_000000001347.jpg"",""targetStatus"":""distr2""},{""url"":""COCO_val2014_000000402623.jpg"",""targetStatus"":""distr1""},{""url"":""COCO_val2014_000000383322.jpg"",""targetStatus"":""distr0""},{""url"":""COCO_val2014_000000363922.jpg"",""targetStatus"":""target""}]"
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374905148e+12,4,1,COCO_val2014_000000001347.jpg,1165,target,true,"[{""url"":""COCO_val2014_000000363922.jpg"",""targetStatus"":""distr2""},{""url"":""COCO_val2014_000000402623.jpg"",""targetStatus"":""distr1""},{""url"":""COCO_val2014_000000383322.jpg"",""targetStatus"":""distr0""},{""url"":""COCO_val2014_000000001347.jpg"",""targetStatus"":""target""}]"
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374912457e+12,5,1,COCO_val2014_000000402623.jpg,1303,target,true,"[{""url"":""COCO_val2014_000000363922.jpg"",""targetStatus"":""distr2""},{""url"":""COCO_val2014_000000001347.jpg"",""targetStatus"":""distr1""},{""url"":""COCO_val2014_000000383322.jpg"",""targetStatus"":""distr0""},{""url"":""COCO_val2014_000000402623.jpg"",""targetStatus"":""target""}]"
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374922584e+12,6,1,COCO_val2014_000000383322.jpg,1463,target,true,"[{""url"":""COCO_val2014_000000363922.jpg"",""targetStatus"":""distr2""},{""url"":""COCO_val2014_000000001347.jpg"",""targetStatus"":""distr1""},{""url"":""COCO_val2014_000000402623.jpg"",""targetStatus"":""distr0""},{""url"":""COCO_val2014_000000383322.jpg"",""targetStatus"":""target""}]"
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374933265e+12,7,1,COCO_val2014_000000363922.jpg,1721,target,true,"[{""url"":""COCO_val2014_000000001347.jpg"",""targetStatus"":""distr2""},{""url"":""COCO_val2014_000000402623.jpg"",""targetStatus"":""distr1""},{""url"":""COCO_val2014_000000383322.jpg"",""targetStatus"":""distr0""},{""url"":""COCO_val2014_000000363922.jpg"",""targetStatus"":""target""}]"
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374940064e+12,8,2,COCO_val2014_000000402623.jpg,1434,target,true,"[{""url"":""COCO_val2014_000000363922.jpg"",""targetStatus"":""distr2""},{""url"":""COCO_val2014_000000001347.jpg"",""targetStatus"":""distr1""},{""url"":""COCO_val2014_000000383322.jpg"",""targetStatus"":""distr0""},{""url"":""COCO_val2014_000000402623.jpg"",""targetStatus"":""target""}]"
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.56937494668e+12,9,2,COCO_val2014_000000001347.jpg,1195,distr1,false,"[{""url"":""COCO_val2014_000000363922.jpg"",""targetStatus"":""distr2""},{""url"":""COCO_val2014_000000402623.jpg"",""targetStatus"":""distr1""},{""url"":""COCO_val2014_000000383322.jpg"",""targetStatus"":""distr0""},{""url"":""COCO_val2014_000000001347.jpg"",""targetStatus"":""target""}]"
