iterationName,gameid,time,score,confused,strategy,comments,totalLength,ratePartner,nativeEnglish,score,role
pilot0,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569375052189e+12,30,no,asdf,asdf asdf asdf,224520,okay,no,30,listener
pilot0,6189-ae00a229-34d2-4133-a5ba-5a13415cab20,1.569375628445e+12,0,yes,"No strategy, it disconnected and I was told to fill this out and submit",,52344,not much,yes,0,listener
pilot0,6933-930ec315-e0cc-438e-8669-c5bc1964ef51,1.569376277951e+12,48,yes,keep it simple,no,351032,liked,yes,48,speaker
pilot0,6933-930ec315-e0cc-438e-8669-c5bc1964ef51,1.569376314557e+12,48,yes,didn't need one because descriptions were very good,no,354683,loved,yes,48,listener
pilot1,7954-a3e02357-41bf-43db-a44f-90093c66a8ad,1.569424994415e+12,48,yes,to describe the focus object in detail,,557824,loved,yes,48,speaker
pilot1,7954-a3e02357-41bf-43db-a44f-90093c66a8ad,1.569425032949e+12,48,yes,It was just going with whatever the person describe in the pictures to the best of my ability,Nope,366264,loved,yes,48,listener
pilot1,7999-06716732-8369-4776-be65-3c1e214eaf13,1.569425647834e+12,48,yes,just read what they said,,253597,loved,yes,48,listener
pilot1,7999-06716732-8369-4776-be65-3c1e214eaf13,1.569425775482e+12,48,yes,describe the main focus of the photo,"There was no mention of a Bonus in the instructions, but there was a Bonus tally shown on the main page with the photos, Now on the last page there is no mention of a Bonus, This is confusing, Is a Bonus going to be paid on this HIT or not?",594187,loved,yes,48,speaker
pilot1,3921-97d27b98-9421-40d5-ac4f-4619072c079d,1.569426045614e+12,46,yes,"I wrote sentences,",None,584604,loved,yes,46,speaker
pilot1,3921-97d27b98-9421-40d5-ac4f-4619072c079d,1.569426076791e+12,46,yes,"I just picked what the other person might be talking about,",No,524466,liked,yes,46,listener
pilot1,0813-9aea9ad8-1dca-4250-b203-173235e21ae8,1.5694261333e+12,48,yes,I just followed directions,no,250986,loved,yes,48,listener
pilot1,0813-9aea9ad8-1dca-4250-b203-173235e21ae8,1.569426175884e+12,48,yes,"Quick simple descriptions with the main object I see in the picture,",No,352802,liked,yes,48,speaker
pilot1,4059-677797ea-5123-47c2-803b-9618309cbc12,1.569426220232e+12,40,yes,I tried to be creative without being super direct,no,591347,okay,yes,40,speaker
pilot1,4059-677797ea-5123-47c2-803b-9618309cbc12,1.569426231316e+12,40,yes,i tried to pick the right picture,no,426648,okay,yes,40,listener
pilot1,5785-37d55de2-a5a5-4915-8e68-317b898e3399,1.569426464594e+12,48,yes,"I just tried my best with my descriptions,",No,495567,loved,yes,48,speaker
pilot1,5785-37d55de2-a5a5-4915-8e68-317b898e3399,1.569426466772e+12,48,yes,As a listener,Nope,414251,loved,yes,48,listener
pilot1,4361-a85339ed-f99d-43ef-8128-e81e0c69fba8,1.569427545375e+12,48,yes,"I tried to give as much detail as possible,",NO,677194,loved,yes,48,speaker
pilot1,4361-a85339ed-f99d-43ef-8128-e81e0c69fba8,1.569427564356e+12,48,yes,"I just read the message from the speaker, made sure I understood it, then clicked accordingly,",N/A,386957,okay,yes,48,listener
pilot1,0701-69b94b8e-8708-4465-92b0-ff0db2cced7c,1.569434558437e+12,12,yes,"I just tried to select the photograph that most closely matched their hints,",,208498,liked,yes,12,listener
pilot1,4088-1d8069d6-4e6e-44a0-97a6-5ace6a80a112,1.569434736746e+12,48,yes,Simply click what the person says,,255701,loved,yes,48,listener
pilot1,4088-1d8069d6-4e6e-44a0-97a6-5ace6a80a112,1.56943474608e+12,48,yes,"To use the simplest word to describe the scene,",No,373514,loved,yes,48,speaker
pilot1,1730-7aee1f3a-9dba-4e57-a886-db344f27c77d,1.569435027143e+12,48,yes,I just chose what the speaker was describing,no,409582,liked,yes,48,listener
pilot1,1730-7aee1f3a-9dba-4e57-a886-db344f27c77d,1.569435047425e+12,48,yes,"Made sure I stuck to the same words, Made sure that something in the picture would show up,","none,",462200,loved,yes,48,speaker
pilot1,4908-85c705ab-2a67-4b92-ae66-a85285f169e3,1.569435232707e+12,48,yes,"I tried to click on the picture they were describing,",No,194208,loved,yes,48,listener
pilot1,3326-36843e03-1929-4e74-b5d2-7db176ba8fa9,1.569435236662e+12,48,yes,describe the scene,none,479760,loved,yes,48,speaker
pilot1,3326-36843e03-1929-4e74-b5d2-7db176ba8fa9,1.569435252768e+12,48,yes,read what they wrote and chose the likliest,no,327148,loved,yes,48,listener
pilot1,4908-85c705ab-2a67-4b92-ae66-a85285f169e3,1.569435260804e+12,48,yes,"I described the images in more detail at first, After my partner got them the first time, I made my description more compact,",no problems,240110,loved,yes,48,speaker
pilot1,3902-3a004d31-accc-41ae-b396-d606ffdf9b23,1.569435421527e+12,48,yes,None,None,235466,loved,yes,48,listener
pilot1,3902-3a004d31-accc-41ae-b396-d606ffdf9b23,1.569435421917e+12,48,yes,to be as quick and efficient as possible,"No, That was interesting!",296625,loved,yes,48,speaker
pilot1,8080-4ce1967e-d0b7-4e15-a542-8b5ff5c89ca1,1.569435483094e+12,46,yes,Just describe the image,,286908,liked,yes,46,speaker
pilot1,8080-4ce1967e-d0b7-4e15-a542-8b5ff5c89ca1,1.569435490657e+12,46,yes,"pick the photo that was described,",no,228884,loved,yes,46,listener
pilot1,6001-311b4147-bb61-45ad-98ff-6d9a25637bd1,1.569435683655e+12,48,yes,just listening to the speaker and picking the corresponding picture,no,334932,loved,yes,48,listener
